Rk,Player,Age,Team,Pos,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,OWS,DWS,WS,WS/48,BPM,VORP,PER,Salary
269,Maxi Kleber,31,DAL,PF,37,25.1,3.6,1.4,0.3,0.8,0.7,2.3,5.9,117,118,0.7,0.6,1.3,0.067,-2.2,0,8.7,9000000
533,McKinley Wright IV,24,DAL,PG,27,12.4,1.7,2.1,0.3,0.2,0.7,0.9,4.2,113,118,0.2,0.2,0.5,0.069,-2.7,-0.1,12.4,508891
289,Meyers Leonard,30,MIL,C,9,12.7,3.8,0.1,0.2,0,0.7,1.8,4.8,123,113,0.2,0.1,0.3,0.126,-5,-0.1,12,713558
261,Mfiondu Kabengele,25,BOS,PF,4,9,2.5,0,0.5,0,0.3,0.8,1.5,103,110,0,0.1,0.1,0.067,-8.9,-0.1,8.1,508891
394,Micah Potter,24,UTA,PF,7,7.4,2.3,0.6,0.1,0,0.3,0.7,3.4,145,116,0.2,0,0.2,0.186,3.5,0.1,18.6,508891
85,Michael Carter-Williams,31,ORL,PG,4,11,1.3,1.8,0.3,0.3,1,1.3,4.3,98,116,0,0,0,-0.003,-6.3,0,9,652829
151,Michael Foster Jr.,20,PHI,PF,1,1,0,0,0,0,0,0,0,,122,0,0,0,0.01,-9.2,0,0,106288
390,Michael Porter Jr.,24,DEN,SF,62,29,5.5,1,0.6,0.5,1.1,1.9,17.4,118,115,2.6,1.8,4.3,0.116,0.2,1,16.8,30913750
58,Mikal Bridges,26,2TM,SG,83,35.7,4.4,3.3,1.1,0.7,1.5,1.9,20.1,118,115,4.4,3.1,7.5,0.121,1.7,2.8,16.8,20100000
99,Mike Conley,35,2TM,PG,67,30.3,2.7,6.7,1.1,0.2,1.5,2.1,11.9,125,118,4.1,1.4,5.5,0.13,0.9,1.5,14.7,22680000
354,Mike Muscala,31,2TM,C,63,15,3.2,0.8,0.2,0.4,0.4,1.6,6.1,124,113,1.4,1.1,2.5,0.128,-0.4,0.4,13,3500000
318,Miles McBride,22,NYK,PG,64,11.9,0.8,1.1,0.6,0.1,0.4,0.9,3.5,106,116,0,0.7,0.7,0.047,-2.3,-0.1,8.4,1563518
416,Mitchell Robinson,24,NYK,C,59,27,9.4,0.9,0.9,1.8,0.7,2.7,7.4,142,110,4,2.6,6.5,0.197,2.4,1.7,18.9,17045454
22,Mo Bamba,24,2TM,C,49,15.7,4.6,0.9,0.3,0.9,0.6,2.1,6.6,121,111,1.1,1.1,2.2,0.139,0.5,0.5,15.7,10300000
349,Monte Morris,27,WAS,PG,62,27.3,3.4,5.3,0.7,0.2,1,1.2,10.3,125,118,3.1,1.1,4.2,0.12,0.5,1.1,15,9125000
193,Montrezl Harrell,29,PHI,C,57,11.9,2.8,0.6,0.3,0.4,0.6,1.3,5.6,124,113,1.3,0.8,2.2,0.153,-1.3,0.1,17.6,2463490
492,Moritz Wagner,25,ORL,C,57,19.5,4.5,1.5,0.6,0.2,1.2,2.4,10.5,122,114,2.1,1.3,3.4,0.149,0.6,0.7,17.4,1878720
66,Moses Brown,23,2TM,C,36,8.2,3.9,0.1,0.1,0.4,0.4,1.1,4.3,123,111,0.7,0.4,1.1,0.179,-0.6,0.1,22.2,824041
343,Moses Moody,20,GSW,SG,63,13,1.7,0.8,0.3,0.1,0.5,0.9,4.8,116,117,0.7,0.6,1.3,0.076,-2.6,-0.1,10.3,3740160
118,Moussa Diabaté,21,LAC,C,22,8.9,2.3,0.2,0.3,0.4,0.4,0.7,2.7,117,114,0.2,0.2,0.4,0.105,-2.8,0,14.2,508891
481,Myles Turner,26,IND,C,62,29.4,7.5,1.4,0.6,2.3,1.7,3.5,18,121,114,3.4,2,5.4,0.142,2.1,1.9,20,35096500
308,Naji Marshall,25,NOP,SF,77,23.3,3.6,2.5,0.7,0.2,1.3,1.5,9.1,109,114,0.5,2,2.5,0.068,-1.9,0.1,11.4,1782621
293,Nassir Little,22,POR,SF,54,18.1,2.6,0.9,0.4,0.4,0.7,1.2,6.6,108,120,0.2,0.4,0.7,0.032,-3,-0.3,10.2,4171548
270,Nathan Knight,25,MIN,C,38,7.7,1.5,0.3,0.3,0.2,0.6,1.1,3.7,118,114,0.4,0.3,0.7,0.116,-3.2,-0.1,14.5,1836090
410,Naz Reid,23,MIN,C,68,18.4,4.9,1.1,0.6,0.8,1.4,2.6,11.5,112,110,1.1,1.9,3,0.114,1,1,18.5,1930681
402,Neemias Queta,23,SAC,C,5,5.8,2.2,0.2,0,0.4,0.2,1.4,2.4,127,114,0.1,0,0.1,0.149,-3.4,0,17,508891
363,Nerlens Noel,28,2TM,C,17,11.5,2.7,0.6,0.9,0.6,0.8,1.9,2.1,84,109,-0.3,0.3,0,0.007,-3.8,-0.1,7.9,9391069
